Experiences,Labels
Financial Consultant,1
ASCENDAS INDIA TRUST Singapore/India,2
Watiga & Co. (S) Pte Ltd,2
"Member, RAGdezvous 2008",0
English Lit. 'B' Classical Civilisation 'C',3
"SENIOR SECRETARY AND NIGHT SECRETARY TO BANKERS (GERMAN, KOREAN AND",1
"MIZUHO SECURITIES New York, NY",2
Kasaya Shuei 1,0
"Major responsibilities included corresponding to customer enquiries, ad-hoc projects, procurement of",3
General Meeting of private companies and pulic listed companies and minutes taking.,0
Accounts Assistant October 2001 to August 2004,1
September 2007 September 2008,0
B) Overseas experiences (PRC) (May 1999 Jul 2003) Finance Executive,3
Credit Suisse,2
Insurance - subsidiary of a global property & casualty insurer,0
Inland Revenue Board etc.,2
"Curve, Eurodollar, TED Spread and Nikkei 225 across all exchange",2
NUS Investment Society,2
Product development included work with enterprise trading projects utilizing Financial,3
The Financial Corporation Co. SAOG (1 Yr. / Apr’07 Jun’08),2
Offering and Rights Issue,0
Kong listed China developers. Used macro research approach to identify longer term opportunities through,2
LANGUAGE SKILLS,0
Client Servicing Associate Distribution Nov 2016 Present,1
September 2008 June 2013,0
Private Equity October 2013 March 2015,0
UOB Asset Management Operations APRIL 2012 to JULY 2014,1
April 2016 to Dec 2016,0
"CROWN SUCCESS ENTERPRISES PTE LTD, SINGAPORE",2
"Manufacturing, Fund Management,",3
"Dubai, United Arab Emirates",0
Apex Fund Services Pte. Ltd. January 2017 to present,2
WORKING EXPERIENCE,0
Accounts & Finance Associate 10/2015 to Current,1
"Familiar with accounting procedures, processes and software programs.",3
Thailand.,0
Sales Advisor,1
"Speaking invitations included presentation of papers representing ASX, including CLSA Asian",3
Hong Kong,0
Geography 'C',3
Assistant ice President / AP,1
StateStreet Bank and Trust (26 Jul 2010 27 Sep 2013),2
2014.08 2017.06 BDO Corporate Services Pte Ltd Senior Accounts Associate,1
ACNIELSEN (CHINA) LIMITED (WORLD’S LEADING MARKET RESEARCH) 1999 - 2001,2
Management through investment accounts and public funds),0
The Bank of New York Mellon Sep 2015-Current,2
"Full time, Associate, Operation 2017.6 Now",1
Worked with payroll and regular account reconciliations. Ad hoc tasks required by,3
PB CORPORATE SERVICE Singapore,2
Exchange of Thailand for the first time in Thailand’s capital market history.,0
Macquarie Bank and South China Securities.,2
UOB Call Centre,2
"Beijing, Guangzhou, Wuxi and Suzhou, with the implementation of financial delegations,",0
LIGHTHOUSE TECHNOLOGIES LIMITED 1998 -1999,2
Project prompted by the acquisition by HSBC requirement to meet China Investment,0
"Contributed to the role out of Bloomberg in Asia regionally, before local offices were",3
Assistant Manager - Trading & Strategy,1
Limited Review and Statutory Audit.,1
Bank of New York Mellon,2
Portfolio Manager,1
India and Pac rim Asia. From a zero start trading flows of over USD one billion per month were,0
Ardent Associates LLP Feb 2016 to present,2
"Assistant Finance Manager, ARA Private Funds",1
Market PE Funds (Debts focus).,2
LEADERSHIP / VOLUNTARY EXPERIENCES,0
August 1997 December 1999 QL Feedingstuffs Sdn. Bhd. (Kuala Lumpur),2
A) Full set of accounts and system implementation (Mar 1993 Apr 1998),0
"Monthly Salary SGD 2,002",0
Investment Intern,1
Field Service Consulting Project Consultant,1
Asia Financial Holdings Limited (0662),2
CITIC Securities International,2
"DirectFN - Mubasher | Dubai, UAE Jun 2013 Sep 2014",2
"Developed and optimized various projects including ecommerce, booking & reservation, non-profit",0
United Overseas Bank Limited,2
"Monthly Salary SGD 1,600",0
Financial Analyst,1
May - Jul 07 PRICEWATERHOUSECOOPERS LLP (PwC),2
Statutory audit.,1
Tax Intern,1
"Projects included signing Citibank HK in March 2003, ( during SARS outbreak ) for a total",0
"Oct 2014 Sept 2015 Mizuho Securities (S) Pte Ltd, Asst. Vice President, Futures Sales",2
"Reported to the EP, formulated trading & portfolio management strategies for discretionary and mutual",3
National Environment Agency (NEA) Recycling Division Apr 2009-Sep 2009,2
DBS Vickers Securities Feb 2010 — Apr 2010,2
DELOITTE TOUCHE TOHMATSU (CPA) 1988 - 1995,2
CITCO Fund Services (17 Feb 2014 Current),2
CHEW SHEK LEONG (DEREK),0
SKILLS,0
"Client Reporting Associate (Fund Accounting and Mandate Reporting), May 2014 - Present",1
"Product Manager, Equity Client Connectivity and Equity Finance",1
EASY Payroll Enterprise),0
Delivered dishes to customers; Polished utensils; Laundry work,3
UOB Asset Management Operations JULY 2011 to APRIL 2012,1
Credit Suisse Group AG,2
SENIOR FUND ACCOUNTANT DEC 2015 - PRESENT,1
Infrastructure Development.,3
"Consulting Director in security trading, position management and regulation technology",1
January 2000 June 2000 Delairco Corporate Services Sdn. Bhd. (Kuala Lumpur),2
"AAPC Singapore Pte. Ltd. (AccorHotels), (Singapore)",2
Responsibilities,0
Young Jains of Singapore (YJS),2
"Taiwan, Singapore. Sales included AXT, Macquarie other Hong Kong low latency",0
FOREIGN EXCHANGE & MONEY MARKET INSTRUMENTS,0
Citco Fund Services,2
Mar-07 - Feb-10 Credit Suisse Prime Brokerage Asset Servicing,2
Business Development Manager,1
ORGANISATIONAL AND COMMITTEE EXPERIENCE,0
Directors,1
"Thomson Reuters | Dubai, UAE Nov 2012 - Jun 2013",2
"HYDROCHEM (S) PTE LTD (HYFLUX GROUP), (Singapore)",2
"Upper Iowa University, Iowa USA & Hong Kong",2
Trading screen ect),0
Duties,0
"Microelectronics, Cheung Kong Infrastructure etc.",2
Married,0
Seatown Holdings International (A fund manager under Temasek Holdings),2
BNP Paribas Singapore Branch​ (22 Jun 2015 Current),2
PHILIPS ELECTRONICS (SINGAPORE) PTE LTD,2
Current,0
Aug 2015 Dec 2015,0
"Despite initial efforts to reassign me to football and golf post the buyout of WSN by NCL, the lack of",0
Banyan Capital Partners HK Limited (20-30 employees) Hong Kong,2
Checked necessary documents; Assisted with foreign exchange trades reports,3
Office Clerk (Human Resource Information System Department),1
NUS Students’ Business Club,0
EXECUTIVE SECRETARY TO DIRECTOR (AMERCIAN CHINESE),1
"Fund Accountant, The Hong Kong and Shanghai Banking Corporation Limited",1
AIA Jan 2014 Feb 2016,2
"Founding member of Bloomberg’s fourth global office, reporting directly to Mike Bloomberg.",1
Restaurant Manager,1
Hong Kong,0
Oversea-Chinese Banking Corporation Apr 13 Nov 14,2
Sep-06 - Feb-07 UBS AG Asset Servicing,2
Achievements,0
"1. Private Equity, Real-Estate & Hedge Fund Investment Meeting, Mayfair, London (09/2016);",0
Jul 2002 — May 2005,0
Singaporean,0
"Assurance Associate Global Financial Services, Asset Management JUL 2013 MAY 2014",2
ADDITIONAL INFORMATION,0
"The untimely and sudden demise of senior partner Mr. Palakrishnan led to the closure of the firm,",0
"Senior Analyst, Investments",1
Rolled out marketing productivity programme to drive,3
Managers,1
NUS NUSSU Volunteer Action Committee,0
Finance),3
May 2015 Present The Bank of New York Mellon (Fund Accountant),1
"Senior Manager, Legal, April 2008 July 2015",1
"Senior Associate, Derivatives Delta One Sales Trading, MACQUARIE SECURITIES September 2013-October 2014",1
Feb 2013 Current,0
Statutory audit.,3
Channels and developing distribution strategy within coverage area,3
"Sichuan Taichung Accounting Firm Co., Ltd Chengdu, China",2
July 2006 - February 2007,0
Senior Fund Accountant,1
Control Engineering,3
AXA INSURANCE PTE. LTD. SINGAPORE,2
JOHNSON ELECTRIC HOLDINGS LIMITED (HK-LISTED MANUFACTURER) 1985- 1988,2
"Shell China Exploration and Production Co., Ltd Chengdu, China",2
"Nikko Asset Management Co., Ltd. Tokyo, Japan",2
Financial Analyst Private Debt & Mezzanine MAY 2014 NOV 2015,1
"Senior Associate, Business Development & Marketing, ANDAS TELECOM November 2014-Present",1
Manager | Business Development & Placements,1
"TRICOR PTE LTD, SINGAPORE",2
15-May,0
BACHELOR OF SCIENCE IN FINANCIAL MANAGEMENT,3
"HSBC SECURITES SERVICES, HSBC Global Custody Asia, Hong Kong 2008 2010",2
June 2011 to August 2011,0
Position level Asc Degree,0
"Actions, Daily Cash and Stock Reconciliation",3
Creator of WorldLink e-trading proposal in conjunction with ASX and later SGX.,3
Accounting and Compliance Officer (Full-time) Nov 2012 Apr 2014,1
WORKING EXPERIENCE,0
Total portfolio under management - USD 220Mn (RO. 85Mn.) / Return (70% p.a.) - Mutual funds,0
PERSONAL,0
Directors,1
CHEW SHEK LEONG (DEREK),0
"BCA grant claim, CPF, IR8A submission)",0
"New Mexico, USA",0
January 2007 December 2007,0
Key Responsibilities,0
"Aecom Asia Company Limited, Hong Kong",2
"Asia (Korea, Japan and China) and provided investment ideas",0
Position level Bachelor's,3
Ernst & Young LLP May 09 Jul 09,2
Merrill Lynch Bank (Suisse) S.A. (Private Banking),2
Marshall Wace Investment Strategies,0
Foreign Corporate Action,0
"Involved in various range of industries i.e. material-science, manufacturing, trading, consultancy",3
Ed-Smiles Import/Export Company,2
"Dubai, United Arab Emirates",0
12-Mar,0
Leung Pui Kee Limited Jul Oct 2009 & 2010,2
Claims Executive Feb 2007 to July 2007,1
Hong Kong,0
"Real Estate Investment Trust, Construction, Healthcare etc. (including 4 SGX pre-IPO review)",2
"Tracked, recorded, compiled, and processed expense reports for 5 gas stations",3
Operational Risk and Business Continuity Plan.,3
"Exchanges, buy and sell side financial institutions, in Hong Kong, China, ANZ and Asia",3
"Development Assistant, Hitachi Beijing Tech Information System Co. Ltd",1
"Senior Associate, Assurance",1
Internal Auditor Oct 2013 Apr 2014,1
Recycling (Singapore) Pte Ltd),2
China Assurance Finance Group Limited Secretary of the Company & Directors,2
"Monthly Salary SGD 2,700",0
"BNP Paribas, Singapore Sep 2007 Nov 2010",2
Other Skills ● Strong in analytical skills & attention to details,3
Jul 10 - Nov 13 PRICEWATERHOUSECOOPERS LLP (PwC),2
Sheares National Day Celebrations Committee May 08 Sep 08,0
Keylink functionalities to help client increase efficiency.,3
Senior Officer (Trade Settlement Team),1
Financial analyst / Fund accountant,1
"Nov. 13 May 14 Barclays Capital Securities Ltd., Seoul Branch Seoul, Korea",2
Singapore,0
Assistant Recruiter,1
Aug 2010-Oct 2013,0
He needs to maintain a positive working relationship with the front office Client Relationship,0
Shared Service Centre / Business Outsourcing Set-up in the Philippines,0
"MA, Intelligence & International Security, sub specialising in Financial",3
Summer Intern June 2014 August 2014,1
"Dec 2013. Raised S$16,000 as fund-raising efforts for underprivileged children.",0
Summer Intern March 2009 May 2009,0
Ernst & Young LLP Jan 11 Mar 13,2
Parsons Brinckerhoff Pte Ltd Aug 2013 Feb 2016,2
"Sep 2016- Present Alter Domus, Fund Service Officer",1
Summer Audit Internship RSM Nelson Wheeler (HK); Jun- Aug 2014,1
"Marketing & Client Service Executive, Aberdeen Asset Management (August 2013 July 2015)",1
ORGANISATIONAL AND COMMITTEE EXPERIENCE,0
My main duties included assisting the team of accountants with various accounting duties like book keeping,3
"Ltd (“NCL”) of India, where I assisted the Legal Department Vice-President (Cricket) with drafting",0
Investor Relations Manager 03/2017 - 11/2017,1
Education,0
16-May,0
Finance Largest International Central Securities Depository,0
Gained my commercial awareness of current development in various industry by reviewing client's internal control,3
Associate Sep 2015 Present,1
Successful rollout and implementation of the internal Competition Law policy.,3
"2. St. Petersburg’s International Economic Forum (SPIEF), Russian Federation (06/2017);",0
"English ( Fluent in Speaking, Writing and Reading )",3
May 2006 to Jan 2009),0
Consumer Secured Lending (Home Loans) Product Manager,1
Research Assistant Economics Research Jun 09 Mar 10,1
"Secretary, ATR Manufacturing Ltd.",1
"Arrow Asia Pac Ltd, Hong Kong Jul 2016 - Present",2
Volunteer Experience,0
Associate,0
Treasury,0
AIA Mar 2016 Present,2
French Native language,3
Malaysia.,0
ASSISTANT ACCOUNTANT MAY 2009 NOV 2011,1
Valuation projects,3
"Audit & Tax Associate FUNG, YU & CO. CPA Limited; Aug- Nov 2015",1
"Managing the legal aspects of such transactions including reviewing and drafting board papers, conducting",3
Statement for clients,0
"Teach basic, conversational English, Japanese and Mandarin to Buddhist monks and elementary school students in",3
Assisted Hall Master manage residence daily issues; Organized events for residents; Improved the communica-,3
Associate Accounting and Finance,1
"Apple, China Operation Finance Controller",2
Assigned to international office; Assisted clients to open oversea banking accounts and letter of credits;,3
"New client projects were completed in a difficult environment in HK, to Bank of America,",3
"Apex Fund Services (Singapore) Pte. Ltd., Account Manager, Singapore Jan 2016 Sep 2016",2
Duties,0
Reason for Leaving ● Took a few months break to study for part-time degree,0
Business Development - Institutional Coverage for Greater China Nov 2013 Jul 2015,3
Analyst Investor Relations & Real Estate Asset Management NOV 2015 - PRESENT,1
"Equalization Funds, Series Funds, Fund of funds, Limited Partnership and Multi-",3
China Foreign Exchange Trading System (CFETS ),2
"Member, Bloomberg Analytics Summer Boot Camp 2010",1
Pheim Asset Management (Asia) Pte Ltd Jun 2013 — Jan 2017,2
Sergeant),0
Aug 2015 Apr 2016,0
Financial Advisors with an accumulated AUM of SGD230+mil,0
Key achievements,0
Committee Member June 2014 - Present,0
"Tax Intern, Sep 2009 - Nov 2009",1
Philippines,0
"Analyst McLagan, Consulting July 2016 Nov 2016",1
Kolb (H.K.) Limited Swiss Company Jul 2012 Oct 2013,2
"American International Assurance, Telemarketer (Intern) Jul 16 to Aug 16",1
PARTNERS GROUP AG Singapore,2
UBS AG Singapore Branch​ (Nov 2014 Dec 2014),2
Financial Planning & Analysis,3
"Supply Chain, Vessel status etc) and consolidated accounting system by creating consolidation report,",3
IMD Tuffi,2
Baring Private Equity Asia Sept 2016 Present,2
"IBD, Intern",1
Soham Phalguni renewable energy private Limited,2
June 2010 to December 2014,0
Alpha Carinae Technologies (HK) Ltd. 2009,2
Panel and Expert Advisor since 2011 to Present in banking technology MNA.,1
"Secretary, American International Assurance Company (Bermuda) Limited",1
Alter Domus Singapore Pte. Ltd.,2
"Prime Brokerage Client Service Senior Analyst, CREDIT SUISSE SINGAPORE August 2012-August 2013",1
"Allard Partners Limited (US$ 1bn long-only equity fund), Hong Kong Jun 2015 Present",2
Catholic Junior College,2
"Sales and delivery of high frequency, low latency",3
Statutory audit.,3
May 2015 Present,0
"Aesop Hong Kong Limited, Central, HK",2
Director Tradebook,1
"Conducted new audit engagements independently from start to completions including planning, executing, directing",3
Assistant ice President / AP,1
Assistant Accountant,1
"June 2012- Aug 2012 HLM & Co. CPA, Vacation Trainee (Audit)",1
Oct 2015 Aug 2016,0
"Investment Associate | SAVER-Premium Fund, Ministry of Defence | Singapore",1
IMAGIC SYSTEMS LTD (DEVELOPER & PROVIDER OF MULTIMEDIA SOLUTION) 2005 - 2005,2
OCBC Bank (HQ),2
Page 4 of 5,0
Consumer Goods FTSE 100 global spirits & soft drinks manufacturer,2
Hobbies,0
Singapore,0
Position level Higher Sec,0
Senior Compliance Officer at Aberdeen Asset Management,1
"Assistant Manager, Group Accounting",1
"July 2001 Ocotber 2003 Skrine, Advocate & Solicitors (Kuala Lumpur)",2
"Graduated with honors, Magna Cum Laude",0
Hong Kong,0
"Ernst & Young, Shanghai China Manager",2
"Working across teams to provide the knowledge, resources and tools that help company",3
"Company IPOs acted as collecting agent (USD 305 Mn.), Omantel 2nd IPO acted as collecting agent (USD",0
January 2017 - Present (3 months),0
"Aglaia Investment Management, manages Jebsen & Jessen family’s personal wealth and has a AUM of",2
Bloomberg L.P. Hong Kong,2
IT skills,3
Assistant Financial Manager,1
FINANCE COORDINATOR,1
IT Call Center (customer service & data entry ),3
"Asset Servicing undertakes corporate action, dividend and coupon processing for the investment",3
Portcullis Fund Administrations (S) Pte Ltd,2
Fund Administrator (Private Equity),1
Apr 2008 May 2013 (above 5 years),0
Lo Hock Ling & Co. March 2013 to Feb 2015,2
French 'C',3
"Account Officer Second Level Controls & Accounting Policies, APAC CIB Finance- BNP Paribas;",1
UBS Securities Japan Ltd. January 2001 to June 2009,2
"Funds, equipped with product knowledge of various security types and derivatives",0
Feb - May 16 TEMASEK HOLDINGS PRIVATE LIMITED,2
Analyst Investor Relations & Real Estate Asset Management NOV 2015 - PRESENT,1
"Societe Generale Securities, Hong Kong Branch. Hong Kong, 2015/5-2016/4",2
Cambridge University Real Estate Finance Asian Alumni Society Hong Kong,2
Main Job Scopes ● Handling Accounts Payables (AP) function,0
Financial Planning & Analysis,3
Assurance,0
"Management, Cash Management, Compliance, Investment and Trading.",3
"Associate Group Legal Advisor, September 2003 December 2005",1
MAR 2016 PRESENT Alibaba Group Company Secretarial Officer,2
"Oakwood Management LLC, Iowa, USA",2
ARW). The company distributes electronic components including,0
Jun - Jul 2007,0
AnBang Asset Management (Hong Kong) Feb 16 Jul 16,2
The job involves accurately settling Asian & European Equities and Fixed Income transactions.,3
Sales Credit Intern Jan 10 Jun 10,1
"Model and relative valuation technique on the basis of ratios such as P/E, EV/EBITDA, P/B etc.",3
Advertised a charitable event that benefits a local food bank. Persuaded Wesleyan students and faculty members to,0
Singapore (“MBCCS”) in December 2011; and,0
"Internal Audit Intern, May 2012 - Jul 2012",1
Audit Senior,1
"DMA Exchange trading solutions to fund financial institutions in Hong Kong, China,",2
"NETSCRIBES PVT LTD June 2003 - Jul 2005, India",2
"LEDified Lighting Corporation, South Melbourne VIC",2
Page 5 of 5,0
PROFESSIONAL QUALIFICATIONS,0
Electricity Generation -Hydro power,0
Senior Investment Operations Executive,1
Amundi Singapore Limited MAY 2016 TO CURRENT,2
"EXECUTIVE ASSISTANT TO GENERAL MANAGER, REGIONAL OFFICE (AMERCIAN)",1
"Divine Gallery Pte Ltd, Singapore Sales Manager",2
"Legal Counsel Asia, August 2015 October 2016",2
June 2012 to December 2012,0
"APS Asset Management Pte Ltd, Singapore Client Services Manager",1
WOOLOOMOOLOO STEAK HOUSE,2
Treasury Specialist Feb 2010 to Feb 2011,1
"Balance Sheet, Profit & Loss, Cash Flow",3
Prime Services Middle Office Asia require a high achieving individual who is capable of interacting,0
"Deutsche Bank, ABN Amro, SSB, HSBC, Hang Seng Bank, DBS Vickers and Morgan Stanley.",2
Trends can easily be extrapolated for improvement programme or strategic review. The,0
"Bridge Loans, VIE, Held on behalf of the holders)",0
Coordinate with each location and communicate with primary team on the audit findings and,3
"March 2016 Myanmar, Yangon Stock Exchange trading education program.",2
Hedge fund related accounting,3
ABN AMRO Bank N.V.,0
Financial Analyst Private Debt & Mezzanine MAY 2014 NOV 2015,1
Project tombstones and press extracts on request.,3
Statutory audit.,3
January 2015 - December 2016 (2 years),0
January 2000 June 2000 Delairco Corporate Services Sdn. Bhd. (Kuala Lumpur),2
Finance and management 2007,3
"Supervisor, Portfolio Accounting",1
OM and other Exchange software vendors,2
SENIOR SECRETARY II TO EXPATRIATE PARTNERS (BRITISH AND CHINESE),1
American time zones,0
Expenses payment/Share certificate deposit/Trade Settlement instructions to,3
"Organization, Controls & Services",3
Financial Cost Accountant,1
April 2006 October 2015 Alliance Bank Malaysia Berhad (Kuala Lumpur),2
C.S. Chan & Co. May 2013 to Aug 2013,2
TB.,0
Account Assistant,1
"Vacation Trainee, Assurance",1
TNT Express Worldwide,2
July 2016 Present,0
Feb 2010 - Mar 2010 Audit Intern,1
"JC Harmony Hall, City University of Hong Kong",2
Retail FTSE 100 UK grocery retailer,2
"Institute of Lean Systems (ILS) Lexington, KY",2
Group and continually reviewing developments in corporate governance. Alliance Bank’s substantial,0
Accountant September 2005 to October 2006,1
Aug 2007 — May 2010,0
Trading Houses. Requiring fast position analysis and testing of trade execution.,3
Job Duties,0
Customer Service Officer,1
"Limited (“DIAL”) and Mumbai International Airport Private Limited (“MIAL”) and liaising with external legal, tax",2
Manx Financial Services Pte Ltd (Credit card sales & Debt recovery service),2
"Proficient with communication, multi-tasking and problem solving, with solid track record",3
"Watiga Trust Pte Ltd and its parent company Watiga & Co. are boutique trust, agency and fund administration",2
Teams respectively to improved delivery time of Financial Statements by 15%.,0
Education,0
"Area Contract Consultant of Trading Solutions, Asia / Pac Rim",1
"POLARIS SOFTWARE LTD Aug 2005 - Jul 2006, India",2
Financial Accounts Officer- Hong Kong (Aug 2014- Dec 2014),1
March 2007 - November 2011,0
Investment Research Intern,1
December 2005 - July 2006,0
"Permanent Member CBA Alumni, registered securities trader, Australia.",1
ACCOUNTANT NOV 2011 JAN 2013,1
Portfolio Company Experience Board of Director Observer and highly involved in the operations of 3 manufacturing companies,1
"Assistant Finance Manager (Contract), Consolidation",1
"Personal Assistant, Global Star Carnival (HK) Limited",1
"Limited Review, Statutory Audit ,Initial Public",3
"Equity Research, RA",3
"Town Supper, Cashier Jan 15 to May 15",1
"Shanghai, China",0
Ernst & Young (www.ey.com) Financial Assurance Executive (8 Mths. / Mar`02 Nov`02),1
My job scope was not broadened by much with no avenue for change.,0
Manager.,1
PROFESSIONAL EXPERIENCE  14 YEARS,0
Equities Dividend and Fixed Income Coupon claims,0
Energy FTSE 100 international energy utility company,0
October 2003 March 2006 Euroair Sdn. Bhd. (Kuala Lumpur),2
BNP Paribas Securities Services Jul 2015 Present,2
Chief Trader,1
"Apex Fund Services (Singapore) Pte. Ltd., Senior Fund Accountant, Singapore Jan 2015 - Dec 2015",1
SCA Packaging Singapore Pte Ltd (Swedish MNC),2
September 1993 July 1997 PFA Corporate Services Sdn. Bhd. (Kuala Lumpur),2
Ana H. Tse +852 6117 1879 Page 3,0
Ambuthirtha Power Private Limited,2
Global Star Carnival (HK) Limited Personal Assistant of C.O.O.,1
Software Development,3
Arisaig Partners (Asia) Pte Ltd Mar 2017 — Oct 2017,2
"Singapore Armed Forces, Platoon Sergeant, Sea Soldier Instructor, Singapore Apr 2008 - Feb 2010",1
Cheer Link CPA Limited Aug 2013 - Dec 2013,2
Singapore,0
PRIOR TO BLOOMBERG,0
"Camberley, UK",0
EXECUTIVE ASSISTANT TO SALES & MARKETING DIRECTOR (CHINESE),1
Authored sales and content contributions with capital markets key representative organizations.,3
Goldman Sachs Jan 2013 Jun 2016,2
Hockey Vice-Captain,0
AGTech Holdings Limited,2
Represent department to co-ordinate firm- wide BCP exercise.,3
Roles and responsibilities,0
ACCOUNTANT & SAP ADMINISTRATOR JAN 2013 APR 2013,1
"Fund Accounting, Assistant Manager, ADM Capital",1
"Citrix Systems Pvt Ltd, Citrix R&D Pvt Ltd",2
I. Sales and client servicing,3
Oman National Investment Corporation,2
"Legal Counsel, June 2007 March 2008",1
Managed Finance team of 10 staffs with about 8 legal entities included,3
SET market data component of RFP with London Stock Exchange / MIT,3
October 2003 March 2006 Euroair Sdn. Bhd. (Kuala Lumpur),2
General Audit,3
Language Skills,0
Payment & Receipts,0
Corporation ‘direct from custody’ electronic lending program for their Asia regional clients. This,0
"Accountants, Payroll Officer",1
Employees for the group,0
"Clerk, United Overseas Bank (Commercial Card Dept., Credit Card Center)",1
"CACEIS Hong Kong Trust Company Limited Investor Services, subsidiary of Crédit Agricole",2
Pharmaceuticals FTSE 100 global pharmaceuticals & consumer goods company,2
RESUME,0
Relationship and Risk Management teams.,3
Intern at HSBC Global Asset Management,1
"Vice President, Commercial Card, Credit Card Center",1
"YALE UNIVERSITY New Haven, CT",2
Executive Committee,1
Technical Analyst 02.2007 - 03.2008,1
Client,0
ERNST AND YOUNG Singapore,2
Sep 2007 Aug 2010,0
"Australia, Japan etc) to obtain information necessary to complete AER",0
"Good command in spoken and written Cantonese, English and Mandarin",3
Hatton National Bank (HNB),2
Achievements,0
Hong Kong Certificate of Education Examination (Full HKCEE Certificate),3
EXPRESS CO & REGISTRATION MANAGEMENT PTE. LTD.,2
June 2011 - September 2011 (4 months),0
Oct 2013 Oct 2015,0
System Integration,3
"Assistant - Career & Employment Services, University of Melbourne (Part-time)",1
SENIOR FINANCIAL ACCOUNTANT JUN 2013 DEC 2015,1
"Agency for Science, Technology and Research (A*STAR)",2
Assistant Compliance Manager at Aberdeen Asset Management,1
Baba Wins Peranakan Cuisine,2
Ernst & Young LLP Sep 2010 Jan 2013,2
He is required to be a senior escalation contact for a variety of operational and non-operational related,0
Accountant,1
"ICG Investment Management (Asia) Limited (license type 4, 9)",2
"Full time, Accountant 2013.12 2015.5",1
Maybank Apr 2011 — Jul 2011,2
CFA Institute,2
Division Heads and Heads of Department.,2
"Reported to CEO; founding employee of the division, tasked with establishing the business vertical for the",0
Jan 2013 - Now Internal Audit Senior,1
Employee of the Quarter Award in 2012,0
"RHYTHME TECHNOLOGY PTE LTD, SINGAPORE",2
Nov-14 - Current BNP Paribas Client Development Team,2
External Club Accounts Auditor 7/2013 to 8/2013,1
"DBS Bank Limited, Singapore Client Relationship Analyst",1
"AMBIT CAPITAL PVT LTD Dec 2009 Sep 2011, India",2
Duties,0
Citibank N.A.,2
The department supports the trading and marketing activities of the Structured Desk serving high net worth clients,0
Significant Highlight,0
RETURN,0
Accounting/ Finance Consultant,1
Languages,0
"VPs at Hong Kong , Australian and Singapore exchanges",1
Audit Intern,1
AED 750k in revenues,0
"JM FINANCIAL LTD Jul 2006 Oct 2009, India",2
Position level Bachelor's,0
Since appointment achieved an ROI of 63% p.a. and increased total portfolio under,0
SEA-LAND LOGISTICS (CHINA) LTD (SEA-LAND GROUP/LOGISTICS) 1996 - 1998,2
"Portfolio Manager, Investment Management Department",2
"Oct 2013- Sep 2016 HSBC, Global Asset Management (HK) Ltd, Accountant",1
CONCORD CAMERA HK LTD (NASDAQ LISTED CAMERA MANUFACTURER) 2002 - 2004,2
MAR 2013 - JUL 2013 Intertrust Group - Semi Senior,1
Page 3 of 4,0
ADMINISTRATION MANAGER,1
Listed Company of CAF & it’s subsidiaries in HK/PRC,2
"ALLIANCE HOLDINGS Philadelphia, PA",2
Event Driven/Merger Arbitrage Team December 2009 August 2011,2
Finance,3
16-Sep,0
C.O.O.,1
"APEX FUND SERVICES (SINGAPORE) PTE LTD, SINGAPORE",2
"Investment Accounting (supporting Asia Special Situations Group, ASSG)",3
"Sept 2015 Current ABN AMRO Clearing Bank N.V., Relationship Manager",1
Laundering checks within stipulated turnaround time (1 work day) as part of,2
I joined IPACS as Finance manager in 2006 to lead the finance and contract execution (FCE),1
"Manufacturing,",0
GCC/MENA focused capital market investments via Mutual Fund and,0
Connectivity Client Services,0
"Audit Associate, KPMG Singapore",1
Outsourcing Controls Officer (Analyst),1
"Senior Fund Accountant/Deputy Manager, Citibank Singapore",1
"Created the algorithmic low latency trading and Prime Broking, using concept of ‘zero touch’",3
"Team Lead, Fund Accounting",1
Ana H. Tse +852 6117 1879 Page 2,0
Business Internal Auditor,1
JK Technology Pte Ltd(Outsource to AIA Singapore) Oct 2011 June 2013,2
"Account Manager, AVP",1
"NAV calculations, monthly reconciliations and liaising with external service providers",3
Audit Associate,1
I joined Asia Agri as Group Finance manager in 2012 reporting to Chairman/CEO and CFO.,1
MGH Associates Ltd. (www.mghglobal.com) (1 Yr. 3 Mths. / Jan`06 Mar`07),2
CastleBay Capital Management US$650mn Managed a team of 6 employees,2
To return to Hong Kong for long-term development,0
JAFCO Investment (Asia Pacific) Limited,2
Research Analyst - Greater China Consumer 2009-2012,1
Motor Claims Department,2
"Sheares Link, In-charge (Program) Jan 08 - May 08",3
PROFESSIONAL SKILLS,0
"Corporate Cards and Purchasing Cards, including soliciting memos, coordination, billings",0
Head of Asset Management,1
"Assistant Accountant, Accounts Payable (Full-time) July 2016 Current",1
Americas.,0
Senior Product Analyst - Financial Services,1
Financial Assurance Executive Ernst & Young,1
Infrastructure & Transportation - world leading city transport authority,0
YCK300028559),0
Undergraduate Intern,1
Oct 2010 Apr 2015,0
"My main duties were to serve customers, informing them about our products and promotional offers and working as",0
FURTHER DETAILS,0
"However, due to downsizing as a result of withdrawal of application for the listing of the",0
Tender return to Philippines Stock Exchange for front end trading system.,0
