Education,Labels
Exchange Study - Finance and Economics 2008.08 - 2008.12,2
Debate Team member winning Championship of National Accounting Debate Contest,0
MSc in Banking and International Finance (2011/12) 2011.09 - 2012.10,1
Cass Business School London,3
SPM Jan 2007 Nov 2007,0
The University of Hong Kong Aug 2010 - Nov 2011,3
 Recognized by the Dean’s Honours List.,0
"Corporate finance, Financial Accounting, Management",2
" Chartered Accountant, Singapore",0
 Pioneered a two-week Overseas Community Service Project and led a group of 20 undergraduates to,0
"3.72 / 4.00, Magna Cum Laude (High Distinction)",1
Product Design and Hedging Strategy Analysis; Financial,2
Singapore Polytechnic April 2007 to May 2010,3
 HKUST Business School International Exchange Program,3
University of Waterloo - Honours Bachelor of Mathematics and Business Administration 2009 2013,3
 Dean’s list for 2010 - 11 Spring Semester,0
"Capital University of Economics and Business Beijing, China",3
"Investment Banking, Securities Investment Fund, Financial Model Design, Accounting, Economic Law.",2
"Financial Analysis, Marketing Management, Writing.",2
BA (Hons) International Business Management 09/2014 08/2015,1
3.93 out of 4.00 (First Class),0
4.0/4.0 Hong Kong University of Science and Technology (HKUST) Hong Kong,3
 Education and professional certifications,0
Diploma in Accounting and Finance,1
Exchange programme,0
Royal Melbourne Institute of Technology (RMIT) Jul 2014 Oct 2015,3
Bachelor of Science in Finance Sep 2008 - Jun 2012,1
"Fixed Income Securities, Credit Risk Management.",2
"Fund Management & Alternative Investments, Venture Capital & Private Equity, Advanced",2
"NTAS, AWD, GTAP",2
"National Scholarship (top 0.1%), Citigroup Scholarship (top 0.04%), CIMA Scholarship (top 0.3%),",0
GCE A’ Levels,0
 ACCA Affiant,1
Hong Kong University of Science and Technology (HKUST) Sept 2007 - Jun 2011,3
"Multimedia University (MMU) Malaysia, 2009",3
"Diploma, Biotechnology",1
July 2008 - May 2011,0
Jan Dec 2009,0
"Nanyang Business Schoool, Nanyang Technological University Aug 2010 Jun 2013",3
"f University of California, San Diego, California",3
PROFESSIONAL MEMBERSHIP,0
refurbish playing rooms and teach English to disabled children at an orphanage in Ho Chi Minh City,0
" B.A. Economics, Minor in Accounting Graduated in June 2016",1
 Professional Experience,0
Double Majors in Accounting and Finance,1
"ACCA- ACCA Member, 2012",1
"Hong Kong Society Treasurer, University of Durham Year 2009 2010",3
"Humboldt-Universität zu Berlin Berlin, Germany",3
"property investment and development, laundry business, property management, trading and other services that are",0
 CPA / Certified Practising Accountant Australia (Membership No. 9582697),1
performance as individual in EY.,0
Strategy & Development,2
"data.  Reorganisation and analysis of 100,000+ paper and file based documents",0
" Consultation with 3rd parties on tax returns, distributions, legislation",0
Certificate & Professional Membership,0
(University of London),3
ACCA Qualification Level 3,1
issues.  Assist account manager to prepare reports for auditors and respond to auditor,0
Specialist Diploma in Fund Management (Part-time),1
" Family office services assisting with property purchases, personal and private",0
Double Majors in Political Science & Finance,1
 Led the research efforts into the different funds passport regimes in Asia Pacific namely APEC,0
Private Equity funds and reports to client & investors on a timely,0
Hotel Management,2
London Business School,3
Mar 2009 Nov 2009 Nanyang Polytechnic Singapore,3
"Project Finance, Financial Statement Analysis",2
" Chartered Alternative Investment Analyst (CAIA) Program, CAIA Association",1
Master of Science in Real Estate (Investment and Finance) 2012 - 2013,1
"resource effective FATCA compliance programmes for independent fiduciaries,",0
analysts & Trader Society - Taken due to self interest,0
 Salutatorian (2nd of the Graduating Batch),1
 Golden Key International Honor Society and Beta Gamma Sigma Honor Society,1
Page 1/1CV generated by eFinancialCareers,0
Sales and Funds.,2
HONORS 2005-2006 Scholarship of Zhengzhou University,1
"Accountants Resource Centre, Adelaide/Melbourne, 3/2014 to 3/2015",0
Major in Business Administration Sept 2015 Dec 2015,1
 Diploma in Business Administration,1
and Switzerland.,0
Value and preparation of Statement of Asset and Liabilities and Profit and,2
Singapore Polytechnic,0
 Valedictorian (1st of the Graduating Batch),1
 Liaise with tax adviser for the investment structure and the fund to minimize the tax,0
Law Bellerbys College London (United Kingdom) Sep 2007 Aug 2008,3
Bachelor of Economics (GPA 3.5/4.5),1
"As a purely investment holding and management company, the multi-national company’s core activity is financial",0
Sara Beattie College - Secretarial Studies 1984,3
04 - 05 RAFFLES JUNIOR COLLEGE (RJC),3
 Managerial Economics,2
December 1999),0
" SEO/SOO 2017 Futurelearn.com, School",0
"1987-1991 University of Hawaii at Manoa, Honolulu, Hawaii",3
Achievement Highlights,0
"Preparation and documentation of corporate, trust and partnership agreements",2
Macroeconomics,2
Diploma in Business Studies,1
 Handling quarterly and annual reporting of the funds,0
Organized event named “Korean night” to introduce Korean culture for over 100 local Hong Kong students,0
"Bachelor of Commerce, Mumbai University (1st Division) 1997 2000, India",1
 Responsible for the order and consultation of visitors in the European Area,0
"70 MOUNT CARMEL COLLEGE,Bangalore",3
IT Advance use of Microsoft Excel and basic use of Microsoft Access (creating table and simple queries),2
companies and Venture Capital (“VC”) funds. The Benchmark Advantage Fund is the largest fund under,0
discounted cash flow (DCF) analysis,2
Trainee Trust Administrator (July 2003 September 2003),0
2017/9- The Hong Kong Polytechnic University Poly Speed,3
Personal Summary,0
2013 University of London,3
investment opportunities,0
 Analyse and evaluate fund performances and to prepare detailed reports to various internal,2
working environment and career advancement opportunities as well as a career to develop myself,0
Awarded with “spot award” - spot recognition award for excellent,0
Chartered Accountant of Singapore (CA) JAN 2017,1
" Passed CMFAS Examinations Module 3, 5 and 8A (exempted from Module 6)",1
A Level Aug 2014 May 2017 Dec 2016 Jan 2006 Dec 2009 KEY EXPERIENCES,0
"July 2002 July 2003 Trinity College, VIC, Australia",3
86.3/100 (Top 10% of cohort) SEP 2012 JAN 2013,0
National University of Singapore Aug 07 Dec 10,3
 ACCA Level 3 P Level,1
(www.step.org). January 2004 - Completed January 2005,0
Valuation and Securities Analysis,2
"2007-2010 Bachelor of Commerce, Rajasthan University, India",1
"RMIT University, Bachelor’s Degree in Economics and Finance",3
Finance University of London (London School (Honors),3
 Management Accounting,2
2013 Present MAS Regulated Representative #ZRX300200815 in Fund Management,0
Year School/College Qualification,0
Financial Intermediation,2
"Business Foundation, Pass with Distinction 79%",1
"CFA Charter (since 2011), Financial Modelling Workshop (Wall St. Training), Intensive Bank",1
"2014 Present Adjunct Lecturer, Nanyang Polytechnic",0
CCA SIM Dragonboat Club Member,0
GCE A’ Levels,1
processing issues,0
 Recipient of Community Impact Scholarship,0
Hong Kong Certificate Education of Examination (2008),1
Resolve day to day trade and cash discrepancies with investment,0
"Kings College London, University of London London, UK",3
 Delineate and build business and financial models for marine-related joint venture projects,2
MSc in ADMINISTRATIVE & INFORMATION MANAGEMENT,1
"Enhanced Investment Products Limited (license type 4, 5, 6, 9)",0
" In depth knowledge in financial statements analysis, fund accounting, operation, fund set up and restructuring, investment",2
 Required to perform data entry and financial analysis tasks.,2
 Financial Analysis,2
"30 audiences, including sales, traders, analysts and senior management",0
" Achieved Distinction in numerical modules (Engineering Mathematics, Hydraulics, Steel Design)",2
3H Health Investment Management (HK) Ltd. (Private equity),3
 Case and Company research,2
 Coordinator of IE Basketball Team,0
 First Aid Care in the Workplace,0
Accounting and Financial Management,2
(Kuala Lumpur),0
Nerine Trust Company (Asia) Limited Guernsey Licenced Trust Company,0
 Central Bank of Sri Lanka Certified Finance Professional,1
performance as individual at Altimetric India private limited.,0
 Bachelor of Economics & Bachelor of Management (double degree programme) with,1
Achievements,0
"manager of water polo in NTU Hall 4 for a period of 5 months, led the team to a top 10 finish",0
Master of Business Administration,1
2012 - 2015 Bachelor of Business Administration (Hons) in Corporate Administration,1
 Research the most tax savvy and efficient way to strategically form overseas in-house partnerships,2
 GCC Equity Funds & Economic Fundamentals (Dec-11),2
" Familiar with Accounting systems like Financial Force, Sales Force, MS Dynamics, Tally",2
 Euro Money Certified Professional Capital Market & Bond Mathematics,2
demonstrating a commitment to continual improvement and minimising client,0
"assessed the market’s aggregate operational quality, valuation and momentum; Presented the study to",2
"corporate) throughout all of Asia and Middle East (Hong Kong, China, Taiwan,",0
 Facebook Marketing,2
"operations, due diligence and regulatory compliant to authorities in various jurisdictions.",0
"ifs Student Investor Challenge - Participant, Bellerbys College London Oct 2007 Feb 2008",0
"Consultation with 3rd parties on tax returns, distributions, legislation",0
 With distinction in Mathematics.,2
 International Certificate in Wealth & Investment Management (CISI),0
on monthly basis.,0
September 2001 - July 2003,0
Advanced & Certificate in Business Communications & Eloquent Skills - Aug 2012,2
" Ms Office (Excel, Word and PowerPoint)",2
Singapore Institute of Management University of London Jul 2012-Jul 2015,3
by pursuing professional qualification and achieved CPA status in Year 2006. I can work,1
Bsc Accounting And Finance,1
Hong Kong Sep 2007-Jul 2010,0
"managers, brokerages and headquarter in Dublin.",0
"Bachelor of Accountancy, Upper Second Class Honors JUL 2013",1
Hedge Fund Administration,2
"Technology and Operation, Business Internet Banking (BIB) Took on “maker”",2
Sep 06 Jun 10 NATIONAL UNIVERSITY OF SINGAPORE (NUS),3
services to hedge funds and collective investment schemes.,2
" Performed company valuations utilizing (i) comparable public company analysis, (ii) precedent transactions analysis and (iii)",2
 Maintenance of company records,2
Bachelor of Accountancy,1
"lifecycle to streamline processes; and implement internal controls across front, middle to back-",2
2011 - 2014 Bachelor in Business Management (Hons) in Human Resource,1
 Awarded grade “A” in Teaching Enterprise Programme (TEP),0
University of London,3
Murdoch University May 2014 Mar 2016,3
" Confidential Information, Employee Misconduct; Post-employment Restrictions - May 2007",0
"Zealand, Jersey, Panama)",0
performance; and preparation of marketing materials.,2
Microsoft Word,2
Investment Foundations Progam,1
1977 1982 Chung Kuo Primary School,3
CPA Australia Singapore,3
 Reports that itemize the expected results of tax returns,0
DATE OF AVAILABILITY,0
 GCE ‘A’ Level with 4 distinctions,1
" Day to day management and administration of personal client portfolio, oversight",2
"management in funds investing Equity, Fixed Income, Commodities and FX.",2
"Limited Managing Director, Resident Manger and Executive Director, November 2015 -",0
"PUC 93.50% SINDHI HIGH SCHOOL, Bangalore",3
"Financial Accounting, Capital Markets & Financial Management, Statistics, Economics",2
service is provided to clients.,0
Bachlor of Arts (Economic and Social Studies)(Hon) Accounting and Finance,1
 Switzerland (6 staff).,0
"Bradford College, Adelaide, 2008 to 2009",3
Master of Accounting Sep 2014 Aug 2015,1
Royal Melbourne Institute of Technology (RMIT),3
presentation of data.,2
"Microsoft Excel (vlookup, pivot table)",2
Group offices.,0
Sep Dec 2014,0
"The University of Adelaide, 2009 to 2012",3
 Financial Reporting,2
Graduated with Second Class Honours.,1
worked in Apex's favor as a recent entrant in the fund administration space.,0
2014 Promotion to Senior Fund Accounting Analyst,0
The Chinese University of Hong Kong Hong Kong,3
2012 BNY Mellon Aspire Team Outperformance Award for Q4 2011,0
champions in 2013 and runners-up in 2014 of annual Shanghai,0
"x Learnt Value Investing under Dr. Athanassakos George, the Bruce Greenwald of Canada",0
3.9/4.0 Spring 2013 - Spring 2015,0
Mar Apr 2009 Audit assistant (Intern),0
 Quantitative Analysis,2
2006-2007 Outstanding student leaders of Zhengzhou University,0
2007 - 2009 Durham University - BA Economics UK,3
University Putra Malaysia 2000,3
CFA Singapore Society Singapore,0
Male Singaporean Single 2 month (negotiable),0
"1998 - 2003 Po Leung Kuk Lee Shing Pik College, Secondary 1-5",3
Advanced Oral English,2
 Participated in procedural compliance audits and other internal audits.,2
 Supervise and provide instructions to custodian banks to settle the firm’s equity and debt,2
" Responsible for the operation and balancing of the cash receipt system on a daily basis, including",2
"AWARD 3rd Prize (Audencia Group, France) Aug 2015",0
The Chinese University of Hong Kong,3
Bachelor of Business (Economics and Finance) with Distinction,1
Singapore Institute Of Management,3
"CIOs/portfolio managers, and top-level business strategic planning exposure to CEOs and",0
(SIM University),3
"Christ Church Grammar School Perth, Australia",3
" Pass with Merit, with distinctions in Accounting, Managing Personal Assets & Finance and Business Finance.",1
NANYANG TECHNOLOGICAL UNIVERSITY Singapore,3
2008 - 2010 Associate of Arts in English for Business Communication,1
Bachelor of Business Administration,1
Aug. 11 Dec. 11 Chinese University of Hong Kong Hong Kong,3
2006-2008 City University of Hong Kong,3
Formation of new trusts (Guernsey and BVI),0
"Company formation (BVI, Guernsey, Jersey, Isle of Man, New Zealand, Mauritian",0
"Bachelor of Business Administration (Accounting), Finance Specialization",1
//www.int-comp.org,0
"Structure. The availability of professionally qualified staff locally, the quick turnaround time for manager and",0
Software - Microsoft Office Applications,2
applies to the top 15% of students based on academic achievement.,0
waterfall/carried interest,2
National University of Singapore GRADUATED JULY 2011,3
 Organization and Assembly of client information,0
"Employee Benefit Trusts, Companies (LLC, IBC, Protected Cell Companies,",0
" Others - Business Intelligence, Computer Languages, Macro, SAP",2
"variance swap and CDS. Also include stale price report check, flagging",2
IE Business School Online Program 2016 2018,1
 Certified in Capital Markets and Financial Advisory Services (CMFAs) Institute of,1
Btech (Pursuing) in Computer Science Engineering (2018),1
2004/9-2010/8 Pui Tak Canossian College,3
emphasizes accounting and finance theoretical knowledge and cases.,2
 CPA Australia; Associate member joined in October 2015,3
 GPA 3.6; Graduated with the second highest ranking in a class of 50 students,1
CFA Institute (Completed Level I & II) Singapore,3
- Dec 2014)  Leading Amicorp’s engagement in Asia and Switzerland with intermediaries,0
"Asia Region Funds Passport (ARFP), China-Hong Kong mutual recognition agreement and",0
"Diploma International Governance, Risk & Compliance, International Compliance",1
 can communicate in English language effectively (written and spoken),2
January 2016 - December 2016,0
"agreements  Seeking, review and commenting on tax and legal advice for clients",0
 Awarded Director’s List (2009/2010),0
accounts.  Access Bank Wide Customer Information Facility (BWCIF) for extracting/verifying,0
Catholic Junior College,3
"Exceptional Versatilist, as a self-starter and “all-rounder"" with 10 years working experience",0
"Personnel and Security Command, Commissions and Registry Officer. (August 1998",0
"Wesleyan University, Middletown, Connecticut, United States of America May 2010",3
Guernsey Finance 2008 Asia Delegate Member (Official Delegation to Chinese,0
"and Administrators, UK (ICSA)",0
block developments and one social housing and hotel development),2
Year School/College Qualification,3
operations. Oct 2013 to Dec,0
REFERENCES AVAILABLE ON REQUEST,0
"Fudan University, Shanghai Sep 2013 Jul 2015",3
"Financial accounting, financial control, corporate finance, derivatives market, auditing, taxation",2
B.A. Economics 09/2013 - 06/2016,1
utmost accuracy,0
 Jaime Torres Scholarship Program Scholar,0
Bachelor of Science Accounting & Finance,1
" Implementation of control procedures to minimize risk, improve operational",2
" Produce and analyse financial reports (cash-flow statements, profit projections)",2
" Led team of medics to Brunei, Taiwan, Thailand to cover safety for OCS training troops",0
 Assist account manager in any ad-hoc projects when necessary,0
"3.8/4.0 Shanghai International Studies University, China 09/2008-07/2011",3
City University of Hong Kong,3
 Assist to process daily influx of BIB account opening [Application Section] through,0
"617D Punggol Drive, #02-827, Singapore 824617",0
Butterfield Trust Guernsey (Bank of Butterfield),0
CHEW SHEK LEONG (DEREK),0
minimize financial risk.,0
"jurisdictions and products relevant to Asia, LATAM & Europe) and dissemination",0
 Accomplished successful completion of C.A.N. Educational Services “Express Yourself” Oral Communication,2
 Emotional Intelligence (CBFS),2
 Certified Practising Accountant of CPA Australia,1
MSc Management 2012/10-2014/10,1
Bachelor of Commerce (Accounting and Finance) Jul 2010 Jul 2012,1
2008 2009 Hong Kong Institute of Vocational Education,3
"Temasek Polytechnic, Singapore",3
" Proficient in Microsoft applications (including Word, PowerPoint and Excel)",2
"London, United Kingdom",0
procedures and discuss any related issues with clients and colleagues.,0
"holdings. Its’ subsidiaries, associates and jointly controlled entities are principally engaged in investment holding,",0
Certification,0
 Obtained a credit in Human Resource Management module,2
" knowledge of Fund Accounting software and applications Bloomberg, Reuters, and",2
Diploma In Business Management March 2010,1
allen_zheng_cv_final Page 2 of 4,0
 Communicate with the LPs to explain the calculation of equalization amount and the,0
Languages English and Cantonese Bilingual; Mandarin Intermediate; Spanish Basic,2
financial reports for auditing and other use such as prospectus.,2
" Building globalisation, scope, depth and sustainability of Amicorp offerings and",0
CFA Institute Oct 2016,3
AWARDS July 2003 June 2006 International Undergraduate Scholarship,0
"CPT 71 GRV BUSINESS MANAGEMENT ACADEMY,Bangalore",3
"Advanced MS Office, Oracle (Peoplesoft), AS400 (GroupAsia), MIS INFOR, Citrix",2
"various Elocution, Quiz contest, Skit, etc.",0
Ensuring capital transactions are booked correctly and P&L is allocated,0
of Economics),0
offshore funds,0
" Consulted with institutional clients and department heads to define their needs and problems, conducted",0
Aug 2007 Sept 2010,0
"industrial. I’m a Chartered Accountant (CA), a hands-on professional with regional exposure",1
The Chinese University of Hong Kong Graduated in May 2010,3
Singapore-Cambridge General Certificate of Education Ordinary Level,1
MISCELLANEOUS INFORMATION,0
 Received top grade for dissertation on “Impact of Spinoffs on Equity Values in Hong Kong”.,2
 Interpret financial statements to measure investment performance (P&L attribution),2
 Handle daily expense approval,2
Anglia Ruskin University (UK) 1998 to 2001,3
" Correspondence and dealing with clients, their advisors and third parties",2
"Certified Practising Accountant, Australia Jun 2016",1
and Bahamas),0
"Chemistry B, Chinese A",2
"of all management and administration teams Trusts, Employee Benefit Trusts,",0
" Oversea exposure, leading finance team in various offices in PRC.",0
1985-1987 Lai King Catholic Secondary School,3
include Goldman,0
 Assist in verifying test results of system enhancement program,2
"University of Massachusetts Dartmouth (UMassD) North Dartmouth, MA",3
Foundation Studies,0
PERSONAL DEVELOPMENT,0
A-Levels 09/2011 - 06/2013,1
Microsoft Powerpoint,2
Certificate of Professional Mediator Training (Hong Kong Mediation Center)- Sept 2012,1
Executive Director (December 2006 December 2013),0
NANYANG TECHNOLOGICAL UNIVERSITY Singapore,3
University of London 2012 2014,3
 Mobile +65 9188 9266,0
(Higher Diploma in Fashion Merchandising),1
Equalisation & Partner Statements to the Limited Partners of the,0
"English Microsoft Excel, Word and Powerpoint",2
"investor queries, pro-activeness in discussing potential concerns and timely delivery of NAV's to clients have",0
NUS Student Exchange Program,0
"evidence relating to advisor and beneficiary behaviour, actions and intentions",0
"money and banking, econometrics, further mathematics, international macroeconomics",2
"Bachelor of Accountancy, Upper Second Class Honors JUL 2013",1
 Diploma in Business Administration,1
" Act as interface to investment companies and fund managers, assuring them to meet their reporting obligations",0
 LCCI Higher,1
Catholic High School,3
"Diploma International Trust Management, Society of Trust Estate Practitioners",1
 Certified in Capital Markets and Financial Advisory Services (CMFAs) Institute of,1
The Hong Kong University of Science and Technology Hong Kong,3
"Correspondence and dealing with clients, their advisors and third parties",0
 Certified in Capital Markets and Financial Advisory Services (CMFAs) Institute of,1
Union High School 1990 to 1996,3
 Maintained petty cash and regular reconciliation.,2
Completion of Executive Coaching Level 1 & 2 October 2013,1
London School of Management,3
Perlis Matriculation College,3
" GCE ‘A’ Level with distinctions in Economics, Mathematics and Physics",1
 Ensure queries related to fund valuations and reconciliation differences are promptly investigated and resolved,0
"TSINGHUA UNIVERSITY Beijing, China",3
 Bachelor of Commerce in Accounting and Finance,1
Computer Science & Technology,2
"Derivatives, Economic analysis",2
"built financial models, forecast cash flow and performed comprehensive analysis to",2
"Website design applications including Macromedia Dreamweaver, Flash and Fireworks",2
"Securities broker representative license 1&2, TOEIC 870.",1
Business Administration,2
"Completed Level II of Chartered Financial Analyst (CFA), CFA Institute 2013, USA",1
2014 INSEAD MBA Class of December 2014 Singapore / France,1
"University Of London,",1
"CPA, Hong Kong Institute of Certified Public Accountants November 2013",3
 Perform daily/weekly/monthly audit and customised checks to ensure the accuracy of portfolio reporting,0
 Maintained proper accounting records and filing systems.,2
Centre Perform fund administration services to European hedge funds - Clients,0
Accountancy A user perspective,2
CREDIT SUISSE,0
2. Quality Assurance,2
Jan 2011 - Dec 2011 Sep 2001 - Jul 2005 PROFESSIONAL QUALIFICATION,0
 Bachelor of Business Administration (Accountancy) Second Class Honours (Upper),1
"MS Office (Words, Excel, PowerPoint, Access, Visio) and Visual software",2
MBA tournament.,0
 Labour Law in Hong Kong,1
"Address：24D, Kwai Chung Fa Yuen, 52 Wo Yi Hop Road, Kwai Chung, N.T.",0
"taken modules in Financial Modeling, Investments, Risk Management and Corporate Finance",2
Hong Kong Mediation Center 2012,0
carrier and ultra large crude carrier).,0
"and Administrators, UK (ICSA)",0
" Investment Management Certificate, Chartered Financial Analyst",1
" Consultation with lawyers, accountants, other professional advisors and",0
"(Subsidiary of Birla Sun Life Asset Management Company, the 4th largest asset management firm in",0
Bachelor of Accounting and Finance- 2.1 second upper class honors,1
"new bank account, reissuing of password/tokens, creation and termination of",0
3.16 2010 2011 Matriculation Certificate in Accountancy,1
"office investment management functions; regulatory compliance across multiple (Singapore,",2
"2004-2009 St Paul’s College, Hong Kong",3
OVERVIEW I have over 20 years working experience in accounting and finance in both commercial and,0
"LLB (Hons), June 2000",1
Bachelor of Art in Accounting (Lower Second Class Honour),1
" Managing day to day client requirements payments, purchases, distributions,",2
"Intermediate Access, ACCPAC Accounting Software, UBS Accounting Software",2
leadership and team management skills to ensure streamlined investment management,2
 Awarded Statement of Attainment of industry-approved competencies PROVIDE GEMS SERVICE,0
"Bachelor’s Degree, Banking and Finance, 2009 - 2012",1
1988 1988 First Toa Payoh Secondary School Pre-University,3
"Diploma in Management Studies, 2010",1
Hedge Fund Administration,2
Master of Science in E-commerce and Logistic Technologies 2011 2013,1
 Member of Alpha Kappa Psi The Professional Business Fraternity,0
"Partnerships, Limited Liability Partnerships",0
"Graduated with a Bachelor of Science in Banking and Finance (Hons), Sept 2007 to Sept 2009",3
applied HOLT valuation framework based on Cash Flow Return on,2
 Implemented quality policies and procedures as per delegations.,2
 Preparation of annual audit-related reports,2
"Monash University Melbourne, Australia",3
 Awarded certificate of credit in an Australian Mathematics Competition,1
"Deakin University, Melbourne Australia",3
"Sachs , Winton Capital and current major client, Marshall Wace",0
"percentage of illiquid securities while structuring share class offering, subscription and redemption terms and",0
and valuation,0
(completed in Aug 2009),0
PROFESSIONAL QUALIFICATION,0
Ngee Ann Secondary School,3
Leadership. CFA Institute,2
EXTRA CURRICULAR INVOLVEMENT,0
" Investigation, analysis and ultimate Reporting to the Board of International Trust",2
"and Canadian companies, recommended one buy",2
companies and other banks financial for the provision of white labelled/managed,0
2001 - 2003 Himalayan White House International College,3
2015 INSEAD Business School - MBA Class of December 2015 France / Singapore,3
May 2010 Feb 2012 Accounts Executive,2
American University of Beirut,3
 Fraud Detection,2
 ACI (The Financial Market Association) Certified Dealer,1
 Chartered Accountant of Singapore,1
 Dean's list of academic recognition,0
"including private banks, asset managers, family offices, accounting and legal",0
"MAYBANK Relationship Manager, Corporate Banking",0
Main Job Scopes ● Providing fund administration services in particular Private Equity,0
(Kuala Lumpur),0
 Obtained Capital Markets and Financial Advisory Services (CMFAS) License in,1
Btech (Pursuing) in Computer Science Engineering (2018),1
 Youth Council Philippines (Chairperson) 2002 to 2007,0
"Winter Internship, PE Investment Dec 2016-Mar 2017",0
 Audit and Assurance,2
"Madrid, Spain",0
2006-2007 Three “A” student of Zhengzhou University,3
PERSONAL PARTICULARS,0
"Investment Banking Institute Boston, MA",3
"2013 Bachelor in Business Administration, Geneva University, faculty of SES (Social and Economic",1
provision for intermediaries and their clients. Julius Baer (North & South Asia),0
 Reorganisation and analysis of online database and electronic document,2
"HKD 20,400 per month",0
"Managing Director, Head of Private Clients (North and South Asia) (December 2013",0
WORKING EXPERIENCES (last position),0
Banking & Finance (IBF) Module 6A Securities & Futures Product Knowledge,2
Engineering Computer Literacy,2
" Received Dean’s List Honors for academic excellence, Spring 2004 and Spring 2005",0
"lawyers.  Advisory services for FATCA, specifically for the roll out of internal cost and",0
Foundation Paper in International Trust Management,0
(Minor in Business Law),1
 Group consolidation; prepare/review correct and essential group consolidation,0
"English, Chinese, Chinese History, Geography",2
Graduate (F.5),0
Corporate Migrations) Limited Partnerships,0
"HKD 25,000 per month",0
Xinmin Secondary School,3
Profile Summary,0
"Financial Planning and Control, Financial Engineering, Corporate Finance, Corporate Financial",2
"Nagkaisang Nayon Elem. School Quezon City, Philippines 1992 1998",2
connected third parties on these matters.,0
supporting administrate paperwork of multi-jurisdictional trust and corporate,2
 Majored in Retail Studies,1
ASEAN Merit Award (Secondary School/Junior College) Dec 08 to Dec 12,0
independently and possess leadership to lead the finance team in resolving daily operational and,2
Advanced Diploma in Administrative Management,1
" Set up accounting system from scratch and provide advice to management on FRS,",2
"Marketing, Billing, Investment Oversight, and Staff Appraisal",2
"Nantes, France",0
 Case and Company research,2
Ngee Ann Polytechnic 2007 2010,3
1) Lee Hishammuddin Allen & Gledhill,0
 Working closely with account manager in the launch and set up of new funds.,0
Chartered Accountant of Singapore (CA) JAN 2017,1
Entrepreneurship | Corporate Finance Major,2
Bowen Secondary School 2004 - 2007,3
" Interned with HOLT, a proprietary stock valuation and screening platform covering 20,000+ stocks globally",2
China Europe International Business School Shanghai,3
" Project lead for new fund launches and regulatory applications of licenses (CMS, RQFII) to new",0
Finance Hong Kong 2012-2016 Corporate Finance (Financial Forecasting); Derivatives and Risk Management;,2
1983 1987 Pei Dao Secondary School G.C.E. “O” Level,3
" BA (Honours) in International Business, Sup de Co Montpellier, France.",1
Certificate in Business Adminstration was awarded upon the completion of the course.,1
 Perform treasury control on various funds (approximately US$1 billion),2
"bank intranet system. Processes include entering company details, appointed",2
 Analyse financial data at portfolio company level to determine correct valuations,2
Bachelor of Commerce (Major in Corporate Finance),1
Diploma in Management Studies (DMS),1
"LANGUAGES English, Chinese",2
reviewed M&A deals in hospital sectors in China in 2016 with a special focus on USD fund’s investments,2
4.2 / 5.0 (Second Upper Class Honors),0
Nanyang Technological University Aug 2007 May 2010,3
Advanced Diploma in Accounting Sep 2003 - Jul 2005,1
Medic Sergeant at SAFTI Military Institute,0
 Master of Business Administration (Specialised in Finance),1
Current holder of SFC Type 9 License,1
"INSEAD, Master of Business Administration (MBA), Full-Time Program December 2017",3
 Value Investing Option Investment,2
Building and Construction Authority,2
structures  Examination and mapping of files/date for litigious investigation and proof of,0
Anglia Polytechnic University),3
Bachelor of Science in Business Administration 2005-2008,1
 Leading & Developing the Finance Team & Succession.,2
 Year 1 and Year 2 (Dean’s List Top 10% of the cohort),0
2016 Present Chinese University of Hong Kong Part Time MBA (Saturdays only),3
"--end? Bachelor thesis, Geneva University)",3
 Master Degree in Knowledge Management - Nanyang Technological University of Singapore,1
 With distinctions in Mathematics.,2
"loans, seeking tax and legal advice",0
A Level (Local Examination Syndicate),1
" Familiar with various valuation models such as DCF, OPM Black-Scholes, Enterprise Value, Market/Transaction Multiples",2
 Financial Reporting Distinction,2
University of London International Programmes,3
"July 2017  Taken modules such as Mathematical Finance, Computer Aided Data Analysis",2
1) Dean’s Honour’s List,0
3.26 2008 2009 Sijil Pelajaran Malaysia (SPM),1
"lifecycle from fund set-up (umbrella, master-feeder, UCITS/SICAV, unit trusts, OEICs),",2
BSc in Banking and Finance (First Class Honours),1
PERSONAL DETAILS,0
HKMA May 2002,0
"notice periods, varying fee structures, redemption gates and lock up period.",0
" SWIFT, FX and CHQ Payments.",2
 Selected for Student Exchange Programme at University of Edinburgh,0
University of Adelaide 2011 - 2013,3
Certificate of Public Relations (HKMA),1
Pioneer Junior College (2007),3
" Report preparation and presentations to the board of trustees, insurers and",2
basis while ensuring tight deadlines are met.,0
Securities valuations include validation of market prices against vendors,0
"Equis Funds Group, Armstrong Asset",0
Diploma in Business Information,1
3.8 / 4.0 National Scholarship,1
Lim Chung Heng,0
 Advanced MS Excel 2013,2
"by marketing, business and financial studies",2
"Software Skills Microsoft Outlook, Word, Power Point and Bloomberg. Familiar with Excel with very",2
India based on “Asset Under Management”),0
MBA Exchange students Sep-Dec 2016,1
Malaysia Education Certificate,1
Management Limited),0
Transcend International Coaching,1
 Graduated with Second Class Honours,0
" Built fully-integrated financial statements projection model, LBO model, accretion/dilution merger models, including ability to",2
 CGMA /Chartered Global Management Accountant,1
86.3/100 (Top 10% of cohort) SEP 2012 JAN 2013,0
exposure  Liaise with bank for currency exchange and possibility of setting up bridge loan,0
